target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
RPV,19,5,coinfection,1,1,N+P,1,2,15coinfectionN+P2shoot,0.0775,0.0135,404.834,1,10.8,2800,50.37211045984439,-3.366426213999998,2800,49.476777238956124,-3.068125512222223,30,34.586345673333334,71329.10266449014,71329.10266449014,0,1,11.175059695135337,6604.546543008346,8.795513561005162,71329
RPV,19,5,coinfection,1,1,N+P,2,3,25coinfectionN+P3shoot,0.2225,0.0204,1378.179,2,46.4,2800,52.879494848272664,-3.458342488666665,28000,54.97219010593116,-3.370307922173914,20,34.555643716666665,1142270.2420447583,1142270.2420447583,0,1,13.948528280472052,24617.893147516344,10.111228821239843,1142270
RPV,19,5,coinfection,1,1,N+P,3,4,35coinfectionN+P4shoot,0.2597,0.0144,1475.075,3,50.3,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,36.26099395666667,15449.00812516221,15449.00812516221,0,1,9.64530008124642,307.1373384724098,5.727295004140726,15449
RPV,19,5,coinfection,1,1,N+P,4,5,45coinfectionN+P5shoot,0.19,0.0348,1048.17,3,52.7,2800,52.999059720874435,-3.3933433428888917,2800,51.22810233179825,-3.3048075430370365,27,32.77567672666667,383274.46952223283,383274.46952223283,0,1,12.856506642112034,7272.760332490187,8.891891186564717,383274
RPV,19,5,RPV,0,0,low,1,1,15RPVlow1shoot,0.0967,0.0086,698.476,2,46.3,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,30.00075531,922190.543967979,922190.543967979,0,0,13.734507144926395,19917.722331921796,9.899365183834208,922191
RPV,19,5,RPV,0,0,low,3,4,35RPVlow4shoot,0.4053,0.0766,1974.938,3,48.7,NA,NA,NA,2800,50.955086780014526,-3.518829324444444,32,34.19853719,57805.22994345055,57805.22994345055,0,0,10.96483453401779,1186.9657072577113,7.079155503929246,57805
RPV,19,5,RPV,0,0,low,5,6,55RPVlow6shoot,0.2779,0.0177,NA,NA,48.9,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,38.49291992333333,9981.341363824673,9981.341363824673,0,0,9.208472765466794,204.11741030316304,5.318695368985968,9981
RPV,19,5,RPV,0,1,P,1,1,15RPVP1shoot,0.1616,0.0163,1046.058,3,48.8,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,31.450844446666668,2049397.2657274818,2049397.2657274818,0,0,14.5330562911649,41995.84560916971,10.645325978305799,2049397
RPV,19,5,RPV,0,1,P,1,2,15RPVP2shoot,0.2384,0.0122,1473.886,3,46.8,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,29.532775246666667,1259617.135344751,1259617.135344751,0,0,14.046318371915103,26914.89605437502,10.200435168991502,1259617
RPV,19,5,RPV,0,1,P,2,3,25RPVP3shoot,0.1861,0.0142,1059.067,2,52.4,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,34.13210805333333,69737.98404200129,69737.98404200129,0,0,11.152500413043857,1330.8775580534598,7.19359382171686,69738
RPV,19,5,RPV,0,1,P,3,4,35RPVP4shoot,0.202,0.024,1004.836,3,52.2,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,33.366123200000004,78585.93263720791,78585.93263720791,0,0,11.271947988318201,1505.4776367281208,7.316865493429608,78586
RPV,19,5,RPV,0,1,P,4,5,45RPVP5shoot,0.2665,0.0919,1277.082,3,48.9,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,35.09485753333333,163792.9293258172,163792.9293258172,0,0,12.006358282960353,3349.5486569696773,8.116580886479527,163793
RPV,19,5,RPV,0,1,P,5,6,55RPVP6shoot,0.2447,0.0198,NA,NA,47,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,36.887615206666666,29898.344621377713,29898.344621377713,0,0,10.305558394012623,636.1349919442067,6.4554107923025645,29898
RPV,19,5,RPV,0,1,P,5,7,55RPVP7shoot,0.3441,0.0171,NA,NA,48.2,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,38.56341044333333,9511.897371732495,9511.897371732495,0,0,9.160298648965535,197.3422691230808,5.2849396279089795,9512
RPV,19,5,RPV,1,0,N,1,1,15RPVN1shoot,0.2207,0.0096,1565.656,3,48.5,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,33.731951396666666,76760.24953626272,76760.24953626272,0,0,11.248442200979598,1582.685557448716,7.36687840303616,76760
RPV,19,5,RPV,1,0,N,1,2,15RPVN2shoot,0.3211,0.0219,1990.548,3,47.2,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,36.33462906,10587.921786753479,10587.921786753479,0,0,9.267469176348937,224.32037683799743,5.413075283757427,10588
RPV,19,5,RPV,1,0,N,2,3,25RPVN3shoot,0.1947,0.0109,947.595,3,48.9,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,34.07205963333333,391299.817644102,391299.817644102,0,0,12.877229342172589,8002.041260615582,8.987451945691763,391300
RPV,19,5,RPV,1,0,N,3,4,35RPVN4shoot,0.2792,0.0255,1478.787,3,49.7,2800,49.19482930996279,-3.0508223223333335,2800,50.71861645847463,-3.568601969833332,12,30.357576373333334,507699.7126159748,507699.7126159748,0,0,13.137645434884458,10215.285968128264,9.231640501781875,507700
RPV,19,5,RPV,1,0,N,4,5,45RPVN5shoot,0.2858,0.0659,1569.553,3,52,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,35.565696716666665,121990.63834468253,121990.63834468253,0,0,11.711699585891472,2345.973814320818,7.760455867310044,121991
