target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,12,3,PAV,1,0,N,5,7,53PAVN7shoot,0.3425,0.0175,NA,NA,47,2800,53.47020321,-3.462972132,NA,NA,NA,36,38.46909078,21471.41016,21471.41016,0,0,9.974477569,456.838514,6.124329967,21471
PAV,12,3,PAV,1,1,N+P,1,1,13PAVN+P1shoot,0.2365,0.0291,1557.79,3,49.6,2800,49.60374996,-3.348891958,NA,NA,NA,15,37.57778168,3899.680642,3899.680642,0,0,8.268649942,78.62259359,4.364659108,3900
PAV,12,3,PAV,1,1,N+P,1,2,13PAVN+P2shoot,0.202,0.0252,1309.048,2,48.9,2800,50.34818138,-3.357441966,NA,NA,NA,14,36.82959239,10628.08454,10628.08454,0,0,9.271255261,217.3432421,5.381477865,10628
PAV,12,3,PAV,1,1,N+P,4,5,43PAVN+P5shoot,0.4052,0.0206,1754.098,3,51.3,2800,49.60374996,-3.348891958,NA,NA,NA,15,36.81934738,6569.04517,6569.04517,0,0,8.790123769,128.0515628,4.852433017,6569
PAV,16,4,coinfection,0,0,low,2,3,24coinfectionlow3shoot,0.2307,0.0219,1318.572,2,48,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,36.37198512,15557.99567,15557.99567,0,1,9.652329976,324.1249098,5.781128966,15558
PAV,16,4,coinfection,0,0,low,4,5,44coinfectionlow5shoot,0.2351,0.0119,1381.174,2,47,2800,50.86659032,-3.253289286,2800,49.73738099,-3.558046976,21,36.36163203,28744.29376,28744.29376,0,1,10.26619455,611.5807184,6.416046947,28744
PAV,16,4,coinfection,0,0,low,5,6,54coinfectionlow6shoot,0.2779,0.0145,NA,NA,48.9,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,39.49662018,8021.154065,8021.154065,0,1,8.989837589,164.0317805,5.100060192,8021
PAV,16,4,coinfection,0,1,P,1,1,14coinfectionP1shoot,0.162,0.0177,1013.252,3,49,2800,52.99905972,-3.393343343,2800,51.22810233,-3.304807543,27,37.90129471,28133.9041,28133.9041,0,1,10.24473068,574.1613082,6.352910382,28134
PAV,16,4,coinfection,0,1,P,1,2,14coinfectionP2shoot,0.2148,0.0143,1269.182,2,50.4,2800,52.3960417,-3.474388187,2800,49.87804498,-3.345626683,25,39.57015228,4915.337803,4915.337803,0,1,8.500115759,97.52654371,4.580124584,4915
PAV,16,4,coinfection,0,1,P,2,3,24coinfectionP3shoot,0.2406,0.0303,1371.648,2,47.8,2800,52.15571661,-3.531808133,2800,53.0766694,-3.844867382,26,37.83710671,11328.87536,11328.87536,0,1,9.335110087,237.0057608,5.468084448,11329
PAV,16,4,coinfection,1,0,N,1,1,14coinfectionN1shoot,0.1879,0.0112,1183.528,2,49,2800,52.21184848,-3.59235151,2800,49.45773255,-3.407512855,24,36.114947,30260.87729,30260.87729,0,1,10.31761098,617.5689243,6.425790681,30261
PAV,16,4,coinfection,1,0,N,1,2,14coinfectionN2shoot,0.1954,0.0165,1107.498,2,51.1,2800,52.21184848,-3.59235151,2800,49.45773255,-3.407512855,24,38.07861201,8595.233223,8595.233223,0,1,9.058963052,168.2041727,5.125178555,8595
PAV,16,4,coinfection,1,0,N,4,5,44coinfectionN5shoot,0.2694,0.012,1388.24,3,48.7,2800,52.87949485,-3.458342489,28000,54.97219011,-3.370307922,20,39.43053627,7741.857932,7741.857932,0,1,8.954396981,158.9703887,5.068717951,7742
PAV,16,4,coinfection,1,1,N+P,1,1,14coinfectionN+P1shoot,0.0747,0.0047,556.33,2,45.7,2800,50.86659032,-3.253289286,2800,49.73738099,-3.558046976,21,36.51997884,25696.78604,25696.78604,0,1,10.15412121,562.2929112,6.332022908,25697
PAV,16,4,coinfection,1,1,N+P,1,2,14coinfectionN+P2shoot,0.2163,0.0172,1225.169,2,48.5,2800,52.87949485,-3.458342489,28000,54.97219011,-3.370307922,20,39.62172572,6816.503271,6816.503271,0,1,8.827101902,140.5464592,4.945538105,6817
