dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,N+P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.low.4.N+P,0,0,1,1,0,1,1,-0.48706846219775085,-0.5025990840597999
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.low.4.P,0,0,0,1,0,1,1,-0.48706846219775085,-0.5025990840597999
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.P.4.P,0,1,0,1,0,1,1,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,low,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.P.4.low,0,1,0,0,0,1,1,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,N,2,2/4/15,3/4/15,3/4/15,0,0.5,NA,NA,NA,shoot,3.1.RPV.P.4.N,0,1,1,0,0,1,0,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,N+P,2,2/4/15,3/4/15,3/4/15,0,0.5,NA,NA,NA,shoot,3.1.RPV.P.4.N+P,0,1,1,1,0,1,0,-0.45286429849154003,-0.48896615696021106
5,1,RPV,N+P,3,4,84.6,258.2714528298111,21849.764909402016,P,3/23/16,3/25/16,3/25/16,3/26/16,0,1,NA,NA,NA,shoot,3.1.RPV.N+P.4.P,1,1,0,1,0,1,1,-0.5305886184297487,-0.5426653376230257
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,low,2/24/16,2/26/16,2/26/16,2/26/16,0,1,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.low,0,0,0,0,1,1,1,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,N,2/24/16,2/26/16,2/26/16,2/26/16,0.5,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.N,0,0,1,0,1,1,0,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.N+P,0,0,1,1,1,1,0,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,P,2/24/16,2/26/16,2/26/16,2/26/16,0,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.P,0,0,0,1,1,1,0,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,3,4,78.2,3388.9703548202647,265017.4817469447,low,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.2.coinfection.low.4.low,0,0,0,0,1,1,1,-0.39725246576824613,-0.44109372213891324
8,2,coinfection,low,3,4,78.2,3388.9703548202647,265017.4817469447,N,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.2.coinfection.low.4.N,0,0,1,0,1,1,1,-0.39725246576824613,-0.44109372213891324
8,2,coinfection,low,3,4,78.2,3388.9703548202647,265017.4817469447,N+P,3/9/16,3/11/16,3/13/16,3/13/16,0,0,NA,NA,NA,shoot,3.2.coinfection.low.4.N+P,0,0,1,1,1,0,0,-0.39725246576824613,-0.44109372213891324
8,2,coinfection,low,3,4,78.2,3388.9703548202647,265017.4817469447,P,3/9/16,3/11/16,3/13/16,3/13/16,0,0,NA,NA,NA,shoot,3.2.coinfection.low.4.P,0,0,0,1,1,0,0,-0.39725246576824613,-0.44109372213891324
8,2,coinfection,low,4,5,121,520.6231795140382,62995.40472119862,low,2/9/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.2.coinfection.low.5.low,0,0,0,0,1,0,0,-0.5194150846677071,-0.5254787260112398
8,2,coinfection,low,4,5,121,520.6231795140382,62995.40472119862,N,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.2.coinfection.low.5.N,0,0,1,0,1,0,0,-0.5194150846677071,-0.5254787260112398
8,2,coinfection,low,4,5,121,520.6231795140382,62995.40472119862,N+P,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.2.coinfection.low.5.N+P,0,0,1,1,1,0,0,-0.5194150846677071,-0.5254787260112398
8,2,coinfection,low,4,5,121,520.6231795140382,62995.40472119862,P,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.2.coinfection.low.5.P,0,0,0,1,1,0,0,-0.5194150846677071,-0.5254787260112398
8,2,coinfection,P,2,3,40.7,2103.914793679597,85629.33210275961,low,8/18/15,8/19/15,8/21/15,8/21/15,0,0,NA,NA,NA,shoot,2.2.coinfection.P.3.low,0,1,0,0,1,0,0,-0.45198285340463834,-0.5160244917124034
8,2,coinfection,P,2,3,40.7,2103.914793679597,85629.33210275961,N,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N,0,1,1,0,1,1,1,-0.45198285340463834,-0.5160244917124034
8,2,coinfection,P,2,3,40.7,2103.914793679597,85629.33210275961,N+P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.45198285340463834,-0.5160244917124034
8,2,coinfection,P,2,3,40.7,2103.914793679597,85629.33210275961,P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.P,0,1,0,1,1,1,1,-0.45198285340463834,-0.5160244917124034
8,2,coinfection,P,3,4,73.5,3275.8658697777782,240776.1414286667,low,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.2.coinfection.P.4.low,0,1,0,0,1,1,1,-0.40206957445753505,-0.45121937586322175
8,2,coinfection,P,3,4,73.5,3275.8658697777782,240776.1414286667,N,3/1/16,3/4/16,3/5/16,3/5/16,0,0,NA,NA,NA,shoot,3.2.coinfection.P.4.N,0,1,1,0,1,0,0,-0.40206957445753505,-0.45121937586322175
8,2,coinfection,P,3,4,73.5,3275.8658697777782,240776.1414286667,N+P,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.2.coinfection.P.4.N+P,0,1,1,1,1,1,1,-0.40206957445753505,-0.45121937586322175
8,2,coinfection,P,3,4,73.5,3275.8658697777782,240776.1414286667,P,3/1/16,3/4/16,3/5/16,3/5/16,0.5,0.5,NA,NA,NA,shoot,3.2.coinfection.P.4.P,0,1,0,1,1,1,0,-0.40206957445753505,-0.45121937586322175
8,2,coinfection,P,4,5,107.5,720.0678556439357,77407.29448172309,P,2/9/16,2/12/16,2/12/16,2/12/16,0,0.5,NA,NA,NA,shoot,4.2.coinfection.P.5.P,0,1,0,1,1,1,0,-0.5109207558879345,-0.5194588523857725
8,2,coinfection,N,2,3,82.69999999999999,4828.136475625504,399286.88653422915,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.2.coinfection.N.3.low,1,0,0,0,1,0,0,-0.3359585248316242,-0.38500913767309763
8,2,coinfection,N,2,3,82.69999999999999,4828.136475625504,399286.88653422915,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.2.coinfection.N.3.N+P,1,0,1,1,1,1,1,-0.3359585248316242,-0.38500913767309763
8,2,coinfection,N,2,3,82.69999999999999,4828.136475625504,399286.88653422915,P,2/15/16,2/19/16,2/19/16,2/19/16,0.5,1,NA,NA,NA,shoot,2.2.coinfection.N.3.P,1,0,0,1,1,1,1,-0.3359585248316242,-0.38500913767309763
8,2,coinfection,N,4,5,41,86.28402929722719,3537.645201186315,low,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.2.coinfection.N.5.low,1,0,0,0,1,0,0,-0.5379135455715506,-0.5503143446782861
8,2,coinfection,N,4,5,41,86.28402929722719,3537.645201186315,N,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.2.coinfection.N.5.N,1,0,1,0,1,1,1,-0.5379135455715506,-0.5503143446782861
8,2,coinfection,N,4,5,41,86.28402929722719,3537.645201186315,N+P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.2.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.5379135455715506,-0.5503143446782861
8,2,coinfection,N+P,2,3,78.3,960.1226219988213,75177.6013025077,low,4/12/16,4/22/16,4/30/16,4/30/16,1,1,NA,NA,NA,shoot,2.2.coinfection.N+P.3.low,1,1,0,0,1,1,1,-0.5006968474330313,-0.5203901994461149
8,2,coinfection,N+P,2,3,78.3,960.1226219988213,75177.6013025077,N,4/12/16,4/22/16,4/30/16,4/30/16,1,1,NA,NA,NA,shoot,2.2.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.5006968474330313,-0.5203901994461149
8,2,coinfection,N+P,2,3,78.3,960.1226219988213,75177.6013025077,N+P,4/12/16,4/22/16,4/30/16,4/30/16,0.5,1,NA,NA,NA,shoot,2.2.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,-0.5006968474330313,-0.5203901994461149
