dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.P.5.P,0,1,0,1,1,0,0,-0.18900690073664253,-0.2953464253795645
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,low,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.low,1,0,0,0,1,1,1,-0.3527495504304246,-0.26481366674352247
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,N,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.N,1,0,1,0,1,1,1,-0.3527495504304246,-0.26481366674352247
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,N+P,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.N+P,1,0,1,1,1,1,1,-0.3527495504304246,-0.26481366674352247
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,P,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.N.4.P,1,0,0,1,1,0,0,-0.3527495504304246,-0.26481366674352247
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,low,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.coinfection.N.5.low,1,0,0,0,1,0,0,-0.3608956031080643,-0.19653969045629652
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N,1,0,1,0,1,1,1,-0.3608956031080643,-0.19653969045629652
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N+P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N+P,1,0,1,1,1,0,0,-0.3608956031080643,-0.19653969045629652
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.P,1,0,0,1,1,0,0,-0.3608956031080643,-0.19653969045629652
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.low,1,1,0,0,1,1,1,-0.4567188690211756,-0.30481860494406154
