dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_p,conc_p_s
22,6,coinfection,N+P,3,4,121.2,6963.639141616773,843993.0639639528,low,8/18/15,8/19/15,8/21/15,8/21/15,1,0,NA,NA,NA,shoot,3.6.coinfection.N+P.4.low,1,1,0,0,1,0,0,-0.5717068432727463,71.28824150586438,-0.567535817718377
22,6,coinfection,N+P,3,4,121.2,6963.639141616773,843993.0639639528,N,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.N,1,1,1,0,1,1,1,-0.5717068432727463,71.28824150586438,-0.567535817718377
22,6,coinfection,N+P,3,4,121.2,6963.639141616773,843993.0639639528,N+P,8/18/15,8/19/15,8/21/15,8/21/15,0.5,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.N+P,1,1,1,1,1,1,1,-0.5717068432727463,71.28824150586438,-0.567535817718377
22,6,coinfection,N+P,3,4,121.2,6963.639141616773,843993.0639639528,P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.P,1,1,0,1,1,1,1,-0.5717068432727463,71.28824150586438,-0.567535817718377
26,7,coinfection,low,2,3,52.3,2177.571766912122,113887.00340950396,low,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.low,0,0,0,0,1,1,1,-0.6985376423739192,165.33145656382808,-0.4106201162651708
26,7,coinfection,low,2,3,52.3,2177.571766912122,113887.00340950396,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.N+P,0,0,1,1,1,1,1,-0.6985376423739192,165.33145656382808,-0.4106201162651708
26,7,coinfection,low,2,3,52.3,2177.571766912122,113887.00340950396,P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.P,0,0,0,1,1,1,1,-0.6985376423739192,165.33145656382808,-0.4106201162651708
26,7,coinfection,low,4,5,115.7,11280.102198018496,1305107.82431074,low,2/8/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.7.coinfection.low.5.low,0,0,0,0,1,1,1,-0.45732055994803533,90.35282826295354,-0.5357256227770374
26,7,coinfection,low,4,5,115.7,11280.102198018496,1305107.82431074,N,2/8/16,2/12/16,2/12/16,2/12/16,0.5,0.5,NA,NA,NA,shoot,4.7.coinfection.low.5.N,0,0,1,0,1,1,0,-0.45732055994803533,90.35282826295354,-0.5357256227770374
26,7,coinfection,low,4,5,115.7,11280.102198018496,1305107.82431074,N+P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.low.5.N+P,0,0,1,1,1,0,0,-0.45732055994803533,90.35282826295354,-0.5357256227770374
