target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass.g,root_mass.g,leaf_area.mm2,leaves,mass_ext.mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,present
PAV,8,2,coinfection,1,1,N+P,2,3,22coinfectionN+P3shoot,0.1972,0.0253,1026.76,2,49.5,2800,54.443033163112105,-3.0831486584444425,28000,54.8519049823941,-3.428139813999994,04,NaN,NaN,0,1,1,0
PAV,8,2,coinfection,1,1,N+P,3,4,32coinfectionN+P4shoot,0.288,0.0229,1360.655,2,51.5,2800,49.796860060958295,-3.144371795666668,2800,52.89612035071825,-3.4712520312962956,19,42.21619415333333,257.55392920335214,0,1,1,0
PAV,8,2,coinfection,1,1,N+P,4,5,42coinfectionN+P5shoot,0.3639,0.023,1657.85,2,48.6,2800,50.37211045984439,-3.366426213999998,2800,49.476777238956124,-3.068125512222223,30,43.07176971,147.42560796219354,0,1,1,0
PAV,8,2,coinfection,1,1,N+P,5,6,52coinfectionN+P6shoot,0.3703,0.0183,NA,NA,47.6,2800,53.29624884074607,-3.534526507333334,2800,51.224510321393424,-3.509619395666665,38,NaN,NaN,0,1,1,0
PAV,8,2,PAV,0,0,low,1,1,12PAVlow1shoot,0.1433,0.0175,780.449,2,47.4,2800,49.67861051029473,-3.3854052233333336,NA,NA,NA,16,40.21251297,625.3872640507328,0,1,0,0
PAV,8,2,PAV,0,0,low,1,2,12PAVlow2shoot,0.1013,0.0163,570.053,2,49.2,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,NaN,NaN,0,1,0,0
PAV,8,2,PAV,0,0,low,3,4,32PAVlow4shoot,0.1617,0.0151,722.582,2,47.8,2800,49.67861051029473,-3.3854052233333336,NA,NA,NA,16,40.8719902,399.3456390865844,0,1,0,0
PAV,8,2,PAV,0,0,low,4,5,42PAVlow5shoot,0.1886,0.0178,954.602,2,52.4,2800,50.22608974830922,-3.560085041666667,NA,NA,NA,17,46.60229492,10.420668489341887,0,1,0,0
PAV,8,2,PAV,0,0,low,5,6,52PAVlow6shoot,0.2274,0.0212,NA,NA,52.1,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,40.40204239,5938.592237252709,5938.592237252709,0,0,1
PAV,8,2,PAV,0,1,P,1,1,12PAVP1shoot,0.1688,0.0177,987.201,2,49.2,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,38.139669415,6594.252750255093,6594.252750255093,0,0,1
