dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_r,conc_r_s
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,low,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.4.coinfection.low.5.low,0,0,0,0,1,0,0,0.3339685911564635,6829.230172710702,-0.57526868133269915
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,N,2/9/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.4.coinfection.low.5.N,0,0,1,0,1,1,1,0.3339685911564635,6829.230172710702,-0.57526868133269915
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,0,NA,NA,NA,shoot,4.4.coinfection.low.5.P,0,0,0,1,1,1,0,0.3339685911564635,6829.230172710702,-0.57526868133269915
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N,1,0,1,0,1,1,1,-0.4212338688675688,27275.69152441652,-0.033437397106758554
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.4212338688675688,27275.69152441652,-0.033437397106758554
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.4.coinfection.N.5.P,1,0,0,1,1,1,0,-0.4212338688675688,27275.69152441652,-0.033437397106758554
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N,12/15/15,1/6/16,1/7/16,1/7/16,1,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.1846970151789502,112330.84569696701,2.2205244314276227
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N+P,12/15/15,1/6/16,1/7/16,1/7/16,0,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N+P,1,1,1,1,1,0,0,-0.1846970151789502,112330.84569696701,2.2205244314276227
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,P,12/15/15,1/6/16,1/7/16,1/7/16,0,0,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.P,1,1,0,1,1,0,0,-0.1846970151789502,112330.84569696701,2.2205244314276227
19,5,coinfection,low,2,3,35.3,328.26373087246196,11587.709699797906,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.low,0,0,0,0,1,1,1,-0.1387596519377075,94768.60828832223,1.7551250899316442
19,5,coinfection,low,2,3,35.3,328.26373087246196,11587.709699797906,N,2/24/16,2/26/16,2/26/16,2/26/16,0,0,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.N,0,0,1,0,1,0,0,-0.1387596519377075,94768.60828832223,1.7551250899316442
19,5,coinfection,low,2,3,35.3,328.26373087246196,11587.709699797906,N+P,2/24/16,2/26/16,2/26/16,2/26/16,0,1,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.N+P,0,0,1,1,1,0,0,-0.1387596519377075,94768.60828832223,1.7551250899316442
19,5,coinfection,P,4,5,88.6,67.31125386971469,5963.7770928567215,low,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.low,0,1,0,0,1,1,1,-0.5741716159969932,165486.49089718887,3.6291491810736924
19,5,coinfection,P,4,5,88.6,67.31125386971469,5963.7770928567215,N,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.N,0,1,1,0,1,1,1,-0.5741716159969932,165486.49089718887,3.6291491810736924
